occupation_uri,preferred_label,alternative_labels,description
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,CISO;IT security administrator;information security administrator;ICT security administrators;network security administrator;system security administrator,"ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption."
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,software requirement analyst;programming analyst;software analysts;programmer analyst;application analyst;software requirements analyst;analyst of software,"Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team."
http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,cyber incident responder,ICT security consultant;cyber crisis expert;information technology security consultant;security operations center analyst;cyber incident handler;information communications technology security consultant;cyber fighter;IT security expert;incident response engineer;ICT security engineer;cybersecurity SIEM manager;ICT security advisor;IT security advisor;security architect;security operation analyst;SOC Analyst;consultant in ICT security activities;cyber defender;IT security consultant;ICT security architect,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken."
http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,ICT disaster recovery analyst,business continuity analyst;ICT resilience analysts;IT resilience analyst;IT disaster recovery analyst;business continuity strategist;disaster recovery officer,"ICT disaster recovery analysts develop, maintain, and implement ICT continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations."
http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,software tester,module tester;application tester;soft tester;application software tester;software testing specialist;unit tester;software testers;software application tester;tester,Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.
http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84,data warehouse designer,data warehouse architect;data warehouse developer,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design."
http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,data engineer,data engineer expert;research data engineer,"Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage."
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,data expert;research data scientist;data research scientist;electromobility data scientist,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data."
http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28,chief ICT security officer,information security manager;CISO;information security administrator;IT security officer;ICT security officer;chief information security officer;ISO;chief ICT security officers;cybersecurity programme director;information security officer;head of IT security;head IT security officer;head of information security,"Chief ICT security officers protect company and employee information against unauthorized access. They also define the Information System security policy, manage security deployment across all Information Systems and ensure the provision of information availability."
http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,enterprise architect,enterprise architects;enterprise developer;enterprise architecture manager;enterprise designer,"Enterprise architects balance technological opportunities with business requirements. They also maintain a holistic view of the organisation's strategy, processes, information and ICT assets and link the business mission, strategy and processes to the ICT strategy."
http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c,mobile application developer,cell phone app developer;app programmer;mobile app specialist;app coder;mobile app developer;app developer,"Mobile application developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems."
http://data.europa.eu/esco/occupation/2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb,cloud architect,aws cloud architect;cloud solutions consultant,"Cloud architects are responsible for converting the technical features of a project into the architecture to lead to the final product. To develop technical cloud strategy, they have in-depth knowledge of the architectural principles and services, assisting with cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. They typically perform in a pre-sales capacity and are often asked to deliver proof-of-concept projects, topical workshops, and lead implementation projects. They team up with DevOps engineers to build the appropriate technologies."
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,artificial intelligence engineer,intelligent systems designers;artificial intelligence designer;ICT intelligent systems designer;AI system designer;semantic technologies engineer;machine learning systems designer;intelligent systems developer;linked data engineer;intelligent system designer;machine learning engineer;designer of intelligent systems;intelligent systems engineer,"Artificial intelligence engineer apply methods of artificial intelligence in engineering, robotics and computer science to design programs which simulate intelligence including thinking models, cognitive and knowledge-based systems, problem solving, and decision making. They also integrate structured knowledge into computer systems (ontologies, knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods."
http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440,ICT system tester,IT system tester;ICT systems tester;systems tester;ICT systems test engineer;ICT systems testers,ICT system testers perform testing activities and some test planning activities. They may also debug and repair ICT systems and components although this mainly corresponds to designers and developers. They ensure that all systems and components function properly before delivering them to internal and external clients.
http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02,embedded systems software developer,embedded systems software developers;embedded software developerl embedded systems engineer;embedded systems designer;embedded system software programmer;embedded software programmer;embedded system software developer,"Embedded systems software developers program, implement, document and maintain software to be run on an embedded system."
http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,network security tester;cybersecurity specialist;cybersecurity tester;ICT security tester;system security tester;red team expert;penetration tester;pentester;offensive cybersecurity expert;vulnerability analyst,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses."
