ma_hoc_phan,ten_vi,ten_en,so_tin_chi_tong,mo_ta_tom_tat,hoc_ky_goi_y,loai_hoc_phan
BM6001,Kinh tế học,Economics,2.0,"Học phần cung cấp những kiến thức cơ bản về kinh tế học như vấn đề về sự khan hiếm nguồn lực, lý thuyết cung – cầu, lý thuyết chi phí và những vấn đề cơ bản về vĩ mô, gồm: chỉ tiêu đo lường kinh tế (GDP, GNP), chu kì kinh tế, lạm phát, thất nghiệp.",1,TU_CHON
BM6091,Quản lý dự án,Project Management,2.0,"Học phần trang bị cho sinh viên kiến thức về dự án và quản lý dự án, giúp sinh viên hiểu rõ mục tiêu và nội dung quá trình hình thành và quản lý một dự án. Sinh viên có thể phân tích được mô hình tổ chức đội ngũ, công cụ và phương pháp quản lý dự án nhằm đạt được các mục tiêu trong giới hạn về thời gian và nguồn lực. Ngoài ra, sinh viên thừa nhận và biết tôn trọng các nguyên tắc trong quản lý dự án, nhận thức đúng vai trò và trách nhiệm của nhà quản lý dự án.",1,TU_CHON
BS6001,Đại số tuyến tính,Linear Algebra,3.0,"Cung cấp cho học viên những kiến thức cơ bản về Đại số tuyến tính và cách vận dụng những kiến thức học được vào các bài toán trong kỹ thuật. Đặc biệt quan tâm đến những ứng dụng của đại số tuyến tính trong việc giải quyết các bài toán thực tế; chuẩn bị cho sinh viên đủ những kiến thức nền tảng để tiếp thu và học tập tốt các môn chuyên ngành. Nội dung của môn Đại số tuyến tính: ma trận, định thức, giải hệ phương trình, không gian véctơ, ánh xạ tuyến tính, giá trị riêng, véctơ riêng, dạng toàn phương.",1,BAT_BUOC
BS6002,Giải tích,Calculus,3.0,,1,BAT_BUOC
BS6018,Giao tiếp trong môi trường làm việc,Communication in the Working Environment,2.0,"Học phần nghiên cứu sâu về mối quan hệ giao tiếp giữa con người với con người trong môi trường làm việc. Sau khi học xong học phần này, sinh viên hiểu được cơ sở lý luận chung về giao tiếp; thực hiện được các kỹ năng giao tiếp cơ bản; thiết lập được các mối quan hệ giao tiếp với đồng nghiệp, với đối tác ở mọi độ tuổi, trình độ, văn hóa, tôn giáo,…khác nhau.",1,BAT_BUOC
BS6019,Nhập môn nghiên cứu khoa học,Introduction to Scientific Research,2.0,"Học phần giới thiệu cơ sở tri thức khoa học hiện đại và tinh giản về nhập môn nghiên cứu khoa học ở trình độ đại học, bao gồm các nội dung phản ánh các khái niệm cốt lõi về phương pháp luận khoa học, nhấn mạnh những cách hiểu mới và thích hợp với bối cảnh nghiên cứu hiện nay ở Việt Nam và trên thế giới. Cách xác định chủ đề/ đề tài nghiên cứu; Các phương pháp nghiên cứu cơ bản; Quy trình nghiên cứu, cấu trúc đề cương nghiên cứu. Đáp ứng yêu cầu thiết kế, tổ chức thực hiện Tiểu luận, Bài tập lớn, Đồ án/Khóa luận tốt nghiệp; nhu cầu tự học, tự nghiên cứu của sinh viên.",1,TU_CHON
BS6020,Quan hệ lao động,Labor Relations,2.0,"Học phần cung cấp các kiến thức sâu về mối quan hệ giữa người sử dụng lao động, người lao động và việc làm. Trang bị cho sinh viên kiến thức cơ bản và có hệ thống cả về lý luận và thực tiễn quan hệ lao động ở Việt Nam, như: tổng quan về quan hệ lao động; vai trò của các chủ thể trong quan hệ lao động, tình hình kinh tế, xã hội tác động đến quan hệ lao động và việc làm. Giúp sinh viên chủ động tham gia vào thế giới nghề nghiệp sau khi tốt nghiệp.",1,TU_CHON
BS6021,Môi trường và con người,Environment and Humans,2.0,"Học phần cung cấp cơ sở lí luận chung về mối quan hệ giữa con người và môi trường. Trang bị cho sinh viên các biện pháp cơ bản để bảo vệ môi trường, bảo tồn tài nguyên. Đồng thời có trách nhiệm trong việc bảo vệ môi trường, bảo tồn tài nguyên trong cuộc sống hiện tại và tương lai.",1,TU_CHON
BS6038,Giải tích,Calculus,3.0,"Học phần cung cấp kiến thức cơ bản về giải tích hàm một biến và nhiều biến, bao gồm giới hạn, đạo hàm, tích phân, cực trị và các ứng dụng trong khoa học kỹ thuật. Nội dung tập trung vào phát triển tư duy phân tích và kỹ năng giải quyết bài toán thực tế như tối ưu hóa, tính công, lực, và phân tích hàm nhiều biến. Đây là học phần nền tảng trong chương trình đào tạo, hỗ trợ sinh viên tiếp cận các môn chuyên ngành và ứng dụng toán học hiệu quả trong lĩnh vực kỹ thuật.",2,BAT_BUOC
BS6042,Xác suất thống kê,Probability and Statistics,3.0,"Học phần Xác suất thống kê bao gồm hai phần: phần Xác suất và phần Thống kê toán. - Phần Xác suất bao gồm các kiến thức chính là: đại lượng ngẫu nhiên  và một số phân phối xác suất thường gặp; véc tơ ngẫu nhiên hai chiều và hàm của các đại lượng ngẫu nhiên. - Phần Thống kê toán giới thiệu bài toán ước lượng và bài toán kiểm định giả thiết thống kê. Nội dung học phần này đóng vai trò quan trọng trong việc học tập và nghiên cứu một số môn học chuyên ngành liên quan. Ngoài ra, học phần sẽ góp phần hình thành và phát triển tư duy logic cho sinh viên, giúp sinh viên rèn luyện các kỹ năng nghề nghiệp như kỹ năng thu thập xử lý số liệu thống kê, kỹ năng quan sát, đặc biệt là kỹ năng phân tích và ra quyết định.",3,BAT_BUOC
BS6050,Âm nhạc,Music,2.0,"Học phần trang bị các kiến thức đại cương về âm nhạc như: Lịch sử hình thành và phát triển của âm nhạc thế giới, âm nhạc Việt Nam; Các thể loại âm nhạc; Hệ thống lý thuyết âm nhạc cơ bản. Giúp sinh viên hình thành khả năng cảm thụ nghệ thuật nói chung, cảm thụ âm nhạc nói riêng. Đáp ứng nhu cầu học tập theo sở thích và năng khiếu. Thông qua học phần cũng giúp sinh viên phát triển kỹ năng làm việc nhóm. Bổ trợ các kỹ năng xã hội để sinh viên thích ứng, hội nhập trong môi trường làm việc cũng như góp phần nâng cao chất lượng cuộc sống cá nhân.",2,TU_CHON
